,date,name,title_text,content_text,link
105,23.out.2020 às 23h15,Folha - Colunistas - Mario Sergio Conti,A Bolívia recupera a democracia e o Chile abre caminho para o futuro,"Na convulsão de 2013, a PM de Alckmin cegou com bala de borracha o fotógrafo Sérgio Silva. ...",https://www1.folha.uol.com.br/colunas/mariosergioconti/2020/10/a-bolivia-recupera-a-democracia-e-o-chile-abre-caminho-para-o-futuro.shtml
106,8.set.2020 às 20h00,Agora - São Paulo,Mulher é feita refém durante duas horas em estação do metrô de SP,"Por volta de 18h, policiais do Gate ( Grupo de Ações Táticas Especiais da PM) efetuaram um disparo de bala de borracha para distrair o sequestrador. ...",https://agora.folha.uol.com.br/sao-paulo/2020/09/mulher-e-feita-refem-durante-duas-horas-em-estacao-do-metro-de-sp.shtml
107,30.ago.2020 às 23h16,Folha - Colunistas - Mônica Bergamo,Defensoria pede que STJ desarquive investigação sobre torturas em presídio paulista,"VIOLAÇÃO
Relatos colhidos em 2018 dão conta de agressões físicas como socos e chutes, uso de spray de pimenta e de arma calibre 12 munida com bala de borracha contra os detentos. ...",https://www1.folha.uol.com.br/colunas/monicabergamo/2020/08/defensoria-pede-que-stj-desarquive-investigacao-sobre-torturas-em-presidio-paulista.shtml
108,28.ago.2020 às 22h26,Folha de S.Paulo - Mundo,Policial chileno é preso por cegar mulher nos protestos de 2019,Ela foi uma das duas pessoas que ficaram completamente cegas entre mais de 400 que sofreram algum ferimento no olho após serem atingidas por projéteis de bala de borracha ou bombas de gás durante ...,https://www1.folha.uol.com.br/mundo/2020/08/policial-chileno-e-preso-por-cegar-mulher-nos-protestos-de-2019.shtml
109,14.ago.2020 às 20h13,Folha de S.Paulo - Política,"Marco Aurélio, do STF, responsabiliza polícia por ferimento a jornalista em manifestação","Alex Silveira ficou com apenas 15% da visão no olho esquerdo após ser atingido por uma bala de borracha quando cobria para o jornal Agora, do Grupo Folha, um protesto de servidores na avenida ...",https://www1.folha.uol.com.br/poder/2020/08/marco-aurelio-do-stf-responsabiliza-policia-por-ferimento-a-jornalista-em-manifestacao.shtml
110,14.ago.2020 às 7h50,Folha de S.Paulo - Poder,Julgamento do STF deve nortear casos de jornalistas feridos por PMs em manifestações,"É injustificável que, em uma manifestação pacífica e sem armas, o repórter, que segurava uma máquina fotográfica, tenha sido atingido por uma bala de borracha em seu olho. ...",https://www1.folha.uol.com.br/poder/2020/08/julgamento-do-stf-deve-nortear-casos-de-jornalistas-feridos-por-pms-em-manifestacoes.shtml
111,10.ago.2020 às 23h15,Folha - Colunistas - Mônica Bergamo,STF deve julgar caso de fotógrafo que perdeu visão após ser atingido por bala de borracha,"O Supremo Tribunal Federal deve julgar na sexta (14) o caso do fotógrafo Alexandro Wagner Oliveira da Silveira, que foi atingido por uma bala de borracha durante manifestação em maio de 2000 ...",https://www1.folha.uol.com.br/colunas/monicabergamo/2020/08/stf-deve-julgar-caso-de-fotografo-que-perdeu-visao-apos-ser-atingido-por-bala-de-borracha.shtml
112,6.ago.2020 às 12h21,Folha Blogs - Entretempos,Pensamentos Descoloniais: artistas negras brasileiras falam sobre os tempos sombrios,de borracha. ...,https://entretempos.blogfolha.uol.com.br/?p=21279
113,28.jul.2020 às 22h54,Agora - São Paulo,Guardas usam bala de borracha para dispersar aglomeração na Grande SP,"Guardas civis municipais atiraram com balas de borracha para dispersar uma aglomeração de pessoas, no início da madrugada de domingo (26), em Guarulhos (Grande SP). Os agentes também usaram  ...",https://agora.folha.uol.com.br/sao-paulo/2020/07/guardas-usam-bala-de-borracha-para-dispersar-aglomeracao-na-grande-sp.shtml
114,21.jul.2020 às 23h15,Folha - Colunistas - Conrado Hübner Mendes,"Sabez avec quem tu parles, monsieur? O TJ-SP sabe",Podemos falar em parceria com a violência policial (e anulação de protocolos sobre bala de borracha). ...,https://www1.folha.uol.com.br/colunas/conrado-hubner-mendes/2020/07/sabez-avec-quem-tu-parles-monsieur-o-tj-sp-sabe.shtml
115,24.jun.2020 às 9h30,Folha de S.Paulo - Cotidiano,Conflito entre seguranças da Vale e agricultores termina com 21 feridos no sudeste do Pará,"“Foi uma correria, muita gente foi atingida, uns com bala de borracha, outros apanharam de cassetete ou se machucaram ao tentar fugir pela mata”, lembrou Oliveira. ...",https://www1.folha.uol.com.br/cotidiano/2020/06/conflito-entre-segurancas-da-vale-e-agricultores-termina-com-21-feridos-no-sudeste-do-para.shtml
116,22.jun.2020 às 16h36,Agora - São Paulo,Corregedoria da PM investiga se policiais feriram irmãos com balas de borracha na zona sul de SP,"Neste momento, segundo os ambulantes, o irmão mais velho foi ferido ferido no ombro esquerdo com um tiro de bala de borracha e caiu no chão. ...",https://agora.folha.uol.com.br/sao-paulo/2020/06/corregedoria-da-pm-investiga-se-policiais-feriram-irmaos-com-balas-de-borracha-na-zona-sul-de-sp.shtml
117,5.jun.2020 às 23h15,Folha de S.Paulo - Poder,"'Manifestantes que atacaram Congresso e STF não foram considerados terroristas, mas oposição ao governo é', diz delegado",Qual é o olhar que o Estado teve para um fotojornalista [Sérgio Silva] que ficou cego ao levar um tiro de bala de borracha da polícia durante uma manifestação em junho de 2013? ...,https://www1.folha.uol.com.br/poder/2020/06/quem-defender-governo-tera-respeito-quem-se-opuser-a-ele-sera-construido-como-terrorista-diz-delegado.shtml
118,31.mai.2020 às 9h49,Folha de S.Paulo - Mundo,"Atos contra racismo ignoram toques de recolher, e EUA veem cenas de barbárie","Na sexta (29), a fotógrafa Linda Tirado levou um tiro de bala de borracha no olho esquerdo enquanto cobria os atos em Minneapolis. ...",https://www1.folha.uol.com.br/mundo/2020/05/atos-contra-racismo-ignoram-toques-de-recolher-e-eua-veem-cenas-de-barbarie.shtml
119,28.mai.2020 às 8h00,Folha de S.Paulo - Ilustríssima,"Com patrocínio de governadores, genocídio de negros e pobres pela polícia dispara","Nenhum cassetete brandido, nenhuma bala de borracha disparada, nenhum sangue derramado. ...",https://www1.folha.uol.com.br/ilustrissima/2020/05/com-patrocinio-de-governadores-genocidio-de-negros-e-pobres-pela-policia-dispara.shtml
120,6.abr.2020 às 15h48,Agora - São Paulo,Homem e GCM ficam feridos em ação pela quarentena na Grande SP,"Um homem foi ferido em uma da mãos, com um tiro de bala de borracha, após uma confusão em um lava-rápido em Carapicuíba (Grande SP), na quinta-feira (2). ...",https://agora.folha.uol.com.br/sao-paulo/2020/04/homem-e-gcm-ficam-feridos-em-acao-pela-quarentena-na-grande-sp.shtml
121,5.mar.2020 à 1h00,Folha de S.Paulo - Cotidiano,PM admite que mortes em Paraisópolis decorreram de ação policial,de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2020/03/pm-admite-que-mortes-em-paraisopolis-decorreram-de-acao-policial.shtml
122,4.mar.2020 às 13h19,Agora - Grana,Deputados aprovam texto complementar da reforma da Previdência de SP,"Por volta das 11h30, a Tropa de choque usou bombas de gás e tiros de bala de borracha para dispersar os manifestantes que estavam do lado de fora da Alesp.
​ ...",https://agora.folha.uol.com.br/grana/2020/03/deputados-aprovam-texto-complementar-da-reforma-da-previdencia-de-sp.shtml
123,3.mar.2020 às 18h29,Agora - Grana,Sindicatos de servidores repudiam ação da PM e do governo para aprovar reforma da Previdência,"""Teve professor atingido por bala de borracha, não é assim que se trata o servidor. ...",https://agora.folha.uol.com.br/grana/2020/03/sindicatos-de-servidores-repudiam-acao-da-pm-e-do-governo-para-aprovar-reforma-da-previdencia.shtml
124,3.mar.2020 às 10h58,Agora - Grana,Votação da reforma da Previdência de SP tem confusão e quebra-quebra; veja vídeos,"Por volta das 11h30, a Tropa de choque usou bombas de gás e tiros de bala de borracha para dispersar os manifestantes que estavam do lado de fora da Alesp. 

​ ...",https://agora.folha.uol.com.br/grana/2020/03/votacao-da-reforma-da-previdencia-de-sp-tem-confusao-e-quebra-quebra.shtml
125,25.fev.2020 às 10h07,Ao Vivo - Cotidiano,Polícia acaba com bloquinhos secretos com bombas e correria,"""Eles desceram dos carros com uma máscara tampando o rosto e segurando armas de bala de borracha"", diz. ...",https://aovivo.folha.uol.com.br/cotidiano/2020/02/15/5879-alalao-aguia-de-ouro-surpreende-e-vence-desfile-das-escolas-de-samba-de-sp.shtml#post397421
126,6.fev.2020 às 8h00,Folha de S.Paulo - Cotidiano,"Falta planejamento, mas sobra bomba para lidar com questões como a da cracolândia","O que nunca falta é bomba, bala de borracha e violência.
Nathália Oliveira é socióloga e cofundadora da ONG Iniciativa Negra por Uma Nova Política Sobre Drogas. ...",https://www1.folha.uol.com.br/cotidiano/2020/02/falta-planejamento-mas-sobra-bomba-para-lidar-com-questoes-como-a-da-cracolandia.shtml
127,2.fev.2020 às 18h14,F5 - Música,Brega funk: a ascensão de um ídolo do ritmo que é a 'aposta' de 2020 no Brasil,Uma reportagem de 2019 da agência de jornalismo Marco Zero Conteúdo conta a história de um jovem que perdeu um olho após ser atingido por bala de borracha disparada pela polícia numa praça. ...,https://f5.folha.uol.com.br/musica/2020/02/brega-funk-a-ascensao-de-um-idolo-do-ritmo-que-e-a-aposta-de-2020-no-brasil.shtml
128,28.jan.2020 às 11h34,Agora - São Paulo,Vídeo mostra PM atirando contra pessoas na zona leste,"""Ele achou que fosse bala de borracha, porque é tão comum a polícia usar isso aqui na região, que nem imaginou que fosse bala de verdade"", contam.  ...",https://agora.folha.uol.com.br/sao-paulo/2020/01/video-mostra-pm-atirando-contra-pessoas-na-zona-leste.shtml
129,25.jan.2020 às 20h00,Folha de S.Paulo - Ilustrada,"Em São Paulo, passe livre é só para os piores homens","de borracha, do spray de pimenta —treinados na ferramenta igualmente letal da câmera, da imagem, da propaganda, do espetáculo de mídia. ...",https://www1.folha.uol.com.br/ilustrada/2020/01/em-sao-paulo-passe-livre-e-so-para-os-piores-homens.shtml
130,5.jan.2020 às 2h00,Folha de S.Paulo - Mundo,Batalha por praça põe em xeque capacidade de Piñera superar crise no Chile,"Em novembro, o estudante de psicologia Gustavo Gatica, 21, tirava fotos dos enfrentamentos quando foi atingido por uma bala de borracha e está cego desde então.  ...",https://www1.folha.uol.com.br/mundo/2020/01/batalha-por-praca-poe-em-xeque-capacidade-de-pinera-superar-crise-no-chile.shtml
131,8.dez.2019 às 18h12,Folha de S.Paulo - Cotidiano,"Denys, 16, queria se alistar no Exército; Luara, 18, sonhava ser veterinária","“Tinha feridas de bala de borracha e o rosto desfigurado como quem levou muito porrada na cabeça, foi espancado”, afirma Maria Cristina. ...",https://www1.folha.uol.com.br/cotidiano/2019/12/denys-16-queria-se-alistar-no-exercito-luara-18-sonhava-ser-veterinaria.shtml
