,index,date,name,title_text,content_text,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
49,107,há 3 dias,Techtudo,Veja 10 doramas de viagem no tempo que merecem uma chance,"... anos no passado, período onde ela arma uma vingança definitiva contra seus inimigos.
Park Min Young (Clima do Amor), Na In Woo... — ... atraente e letal que diz ter vindo do futuro para salvar Tae-sul de um desastre mundial iminente. Ao descobrir a verdade graças...",2024-07-12 16:49:33.251383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,88,há 3 dias,O Globo,Reforma Tributária: Alckmin defende inclusão de armas no 'impos...,O vice-presidente Geraldo Alckmin defendeu nesta sexta-feira a inclusão da carne na cesta básica e criticou a retirada das armas... — ... importante de justiça de natureza tributária. Você colocar comida na cesta básica não é ruim. O ruim é você tirar do seletivo a arma...,2024-07-12 16:49:33.237138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,89,há 3 dias,O Globo,Rússia nega planejar assassinato de grande fabricante de armas ...,"... fabricante de armas alemão e considerou que estas acusações carecem de ""argumentação séria"".
Análise: Biden fracassa em dissipar temores... — ... indicou que os Estados Unidos e a Alemanha frustraram este ano um projeto para assassinar o CEO de um grande fabricante de armas...",2024-07-12 16:49:33.237138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,73,há 3 dias,G1,MP investiga ação de PM que deu tiro de borracha em goleiro apó...,"... da Corregedoria. A corporação ressaltou que o disparo foi feito com uma bala de borracha, que é um armamento menos letal, e reiterou... — ... que pediu para policial abaixar a arma apontada para amigo
4 MESES SEM JOGAR: Goleiro baleado por policial ficará até quatro meses...",2024-07-12 16:49:33.225220,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,72,há 3 dias,Boa Noite Paraná,Polícia encontra arsenal de armas na região de Foz do Iguaçu,Armas foram encontradas após uma denúncia de violência doméstica e pedido de medida protetiva.,2024-07-12 16:49:33.224221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,70,há 3 dias,G1,Goleiro baleado por policial após jogo diz que está abalado: 'N...,"..., empurra-empurra. É normal de futebol"" disse.
""Ele (policial) empurrou um dos nossos atletas e apontou a arma em direção ao rosto... — ... dele. Foi o momento em que eu vi e pedi para ele abaixar a arma. Ele pegou, falou 'vai para trás' e quando eu dei um passo para trás...",2024-07-12 16:49:33.221690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,20,há 3 dias,vogue,Christina Fulton se pronuncia após prisão de seu filho com Nico...,Christina Fulton se pronunciou diante das acusações criminais de agressão com arma letal e que acabou na prisão de seu filho...,2024-07-12 16:49:33.175263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,135,há 4 dias,G1,Homem é detido com uma arma de brinquedo antes de assaltar agên...,"Simulacro de arma de fogo foi apreendido pela PM após ser descartado pelo suspeito em São Vicente
Polícia Militar
Um homem, de 30... — ... a arma de brinquedo. O homem foi detido na Rua Freitas Guimarães com porções de crack e maconha. 
Os policiais recuperaram o objeto...",2024-07-11 16:49:33.277847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,124,há 4 dias,O Globo,Reforma Tributária: Câmara deixa armas e munições fora do Impos...,"A regulamentação da Reforma Tributária, aprovada nesta quarta-feira pela Câmara dos Deputados, deixou armas e munições de fora... — ... armas destinadas ao serviço público. O Imposto Seletivo representa um adicional na alíquota padrão da reforma, etimada em 26,5...",2024-07-11 16:49:33.267304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,115,há 4 dias,G1,"Goleiro baleado por policial ficará até quatro meses sem jogar,...","... policial abaixar a arma apontada para amigo
'Tem lutado pelo sonho': Mãe de goleiro baleado por policial após jogo desabafa... — ... esporte (veja nota completa no fim da reportagem).
Goleiro baleado por policial após jogo diz que pediu para policial abaixar a arma...",2024-07-11 16:49:33.254182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
