,index,date,name,title_text,content_text,link,date_b
183,142,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
184,46,14.jun.2013 às 15h32,Folha de S.Paulo - São Paulo,PM usou gás lacrimogêneo vencido para dispersar manifestação em SP,"Paulista (centro) durante manifestação no dia 11/6



A informação está impressa no corpo do projétil, produzido pela brasileira Condor Tecnologias Não-Letais. ...",http://www1.folha.uol.com.br/saopaulo/2013/06/1295110-pm-usou-gas-lacrimogeneo-vencido-para-dispersar-manifestacao-em-sp.shtml,2013-06-14
185,71,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
186,191,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
187,239,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
188,47,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
189,95,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
190,215,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
191,23,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
192,143,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
193,119,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
194,167,5.jun.2013 às 12h08,Folha de S.Paulo - Mundo,"No Twitter, Paulo Coelho critica venda de bombas de gás para Turquia","""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1290100-no-twitter-paulo-coelho-critica-venda-de-bombas-de-gas-para-turquia.shtml,2013-06-05
195,192,4.jun.2013 às 14h07,Folha de S.Paulo - Mundo,Turquia usa gás lacrimogêneo feito no Brasil em repressão a protestos,"""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1289567-turquia-usa-gas-lacrimogeneo-feito-no-brasil-em-repressao-a-protestos.shtml,2013-06-04
196,48,4.jun.2013 às 14h07,Folha de S.Paulo - Mundo,Turquia usa gás lacrimogêneo feito no Brasil em repressão a protestos,"""Os produtos não letais são projetados especificamente para incapacitar temporariamente as pessoas, sem causar danos irreparáveis ou morte. ...",http://www1.folha.uol.com.br/mundo/2013/06/1289567-turquia-usa-gas-lacrimogeneo-feito-no-brasil-em-repressao-a-protestos.shtml,2013-06-04
